BSSID;LAT;LON;SSID;Crypt;Beacon Interval;Connection Mode;Channel;RXL;Date;Time
00:1A:DD:F4:E4:65;NaN;NaN;Afikim_Wifi;Open;-5090;Infra;8;-91;2017/10/23;16:31:48
00:1A:DD:F4:E6:C4;NaN;NaN;;Open;-5088;Infra;11;-89;2017/10/23;16:09:28
00:1A:DD:F4:F3:85;NaN;NaN;Afikim_Wifi;Open;-5093;Infra;13;-94;2017/10/23;15:27:57
00:1A:DD:F4:FC:84;32.10396;35.20772;;Open;-58;Infra;3;-57;2017/10/23;14:36:35
00:1A:DD:F4:FC:85;32.10396;35.20772;Afikim_Wifi;Open;-59;Infra;3;-58;2017/10/23;14:36:35
00:1A:DD:F5:04:84;NaN;NaN;;Open;-5088;Infra;8;-89;2017/10/23;17:18:53
00:1A:DD:F5:04:85;NaN;NaN;Afikim_Wifi;Open;-5087;Infra;8;-88;2017/10/23;17:18:53
00:1A:DD:F5:0C:04;NaN;NaN;;Open;-5089;Infra;8;-90;2017/10/23;13:12:46
00:1A:DD:F5:0C:05;NaN;NaN;Afikim_Wifi;Open;-5089;Infra;8;-90;2017/10/23;13:12:51
00:1A:DD:F5:BC:04;32.10511;35.20712;Afikim-WIFI;Open;-65;Infra;1;-64;2017/10/23;14:39:50
00:1A:DD:F5:C1:65;NaN;NaN;Afikim_Wifi;Open;-5078;Infra;9;-79;2017/10/23;17:19:37
00:1A:DD:F5:C2:64;NaN;NaN;Afikim 924;Open;-5089;Infra;1;-90;2017/10/23;17:07:58
00:1A:DD:F5:CB:A4;32.10321;35.20938;;Open;-205;Infra;9;-87;2017/10/23;13:05:32
00:1A:DD:F5:CB:A5;NaN;NaN;Afikim_Wifi;Open;-5093;Infra;9;-94;2017/10/23;16:24:32
00:1A:DD:F5:CE:04;32.10306;35.20902;;Open;-109;Infra;7;-91;2017/10/23;12:43:24
00:1A:DD:F5:CE:05;32.10306;35.20902;Afikim_Wifi;Open;-109;Infra;7;-91;2017/10/23;12:43:24
00:1A:DD:F5:E3:24;32.10523;35.20725;;Open;-79;Infra;8;-78;2017/10/23;16:45:46
00:1A:DD:F5:E3:25;32.10523;35.20725;Afikim_Wifi;Open;-78;Infra;8;-77;2017/10/23;16:45:46
00:1A:DD:F5:E8:44;NaN;NaN;Afikim-923;Open;-5083;Infra;1;-84;2017/10/23;17:47:54
00:1A:DD:F5:E9:24;32.10523;35.20725;PEPWAVE_C99D;WpaPsk;-72;Infra;1;-71;2017/10/23;16:47:14
00:1A:DD:F5:E9:25;32.10523;35.20725;Afikim-73925;Open;-72;Infra;1;-71;2017/10/23;16:47:14
00:1A:DD:F5:EA:E4;NaN;NaN;Afikim-WiFi;Open;-5088;Infra;1;-89;2017/10/23;16:09:06
00:1A:DD:F6:B6:64;32.10404;35.20761;Afikim-WiFi;Open;-68;Infra;6;-67;2017/10/23;14:36:47
00:21:04:4C:2A:A2;32.10348;35.20796;Yan;WpaPsk;-85;Infra;6;-84;2017/10/23;14:35:19
00:25:86:CB:FD:F8;32.10305;35.20905;;Open;-70;Infra;9;-61;2017/10/23;12:48:32
00:25:86:CC:00:F8;32.10403;35.20734;AUC_54_R;Open;-64;Infra;5;-62;2017/10/23;14:37:38
00:25:86:CC:07:B2;32.10399;35.20722;KCG_54;Open;-66;Infra;2;-64;2017/10/23;14:37:52
00:27:19:14:04:78;32.10406;35.20719;AUC;Open;-86;Infra;6;-84;2017/10/23;14:38:02
00:27:22:F3:BB:3A;32.10352;35.20770;;Open;-79;Infra;6;-78;2017/10/23;14:35:55
00:27:22:F3:BB:86;32.10391;35.20776;;Open;-74;Infra;1;-73;2017/10/23;14:36:27
00:27:22:F3:E0:7B;32.10439;35.20714;;Open;-72;Infra;1;-70;2017/10/23;14:38:43
00:27:22:F3:E0:83;32.10441;35.20714;;Open;-72;Infra;11;-70;2017/10/23;14:38:44
00:27:22:F3:E0:BA;32.10397;35.20751;;Open;-83;Infra;11;-82;2017/10/23;14:37:01
00:27:22:F3:E0:D0;32.10515;35.20705;;Open;-79;Infra;11;-78;2017/10/23;16:33:44
00:27:22:F3:E0:F6;32.10517;35.20719;;Open;-84;Infra;11;-83;2017/10/23;16:33:58
00:27:22:F3:E1:DA;32.10400;35.20721;;Open;-68;Infra;6;-66;2017/10/23;14:37:54
00:27:22:F3:E1:F4;32.10402;35.20732;;Open;-69;Infra;1;-67;2017/10/23;14:37:42
00:27:22:F3:E2:16;32.10402;35.20734;;Open;-82;Infra;6;-79;2017/10/23;14:37:36
00:8C:54:90:CE:D1;32.10345;35.20834;victoria;WPA2;-88;Infra;1;-87;2017/10/23;14:34:50
02:02:0A:CD:F2:B9;32.10475;35.20714;REL-WIFI;Wep;-83;Adhoc;11;-81;2017/10/23;14:39:16
02:02:0F:91:32:EE;32.10475;35.20714;RelTele;Wep;-82;Adhoc;1;-80;2017/10/23;14:39:16
02:02:59:64:F2:B9;32.10514;35.20696;REL-WIFI;Wep;-83;Adhoc;11;-81;2017/10/23;16:58:00
06:27:22:F3:E0:D0;32.10497;35.20716;auc;Open;-78;Infra;6;-76;2017/10/23;14:39:38
06:27:22:F3:E0:F6;32.10492;35.20714;auc;Open;-79;Infra;1;-77;2017/10/23;14:39:34
06:AE:DB:3A:64:05;32.10347;35.20812;BezeqFree;WPA2;-90;Infra;11;-89;2017/10/23;14:35:05
06:AE:DB:53:3F:A5;32.10427;35.20715;BezeqFree;WPA2;-93;Infra;6;-91;2017/10/23;14:38:30
06:AE:DB:55:A6:95;32.10343;35.20867;Netanel1610;WpaPsk;-91;Infra;5;-90;2017/10/23;14:34:20
08:97:58:33:88:DE;32.10523;35.20726;MiFi_24873125;WpaPsk;-92;Infra;2;-88;2017/10/23;16:39:56
0A:27:22:F3:E0:F6;32.10497;35.20716;ACAD;WpaPsk;-83;Infra;1;-81;2017/10/23;14:39:38
10:BE:F5:35:AA:EA;32.10343;35.20872;Andrey;WPA2;-92;Infra;11;-90;2017/10/23;14:34:16
10:BE:F5:39:8F:F2;32.10347;35.20805;LARISA;WPA2;-86;Infra;10;-85;2017/10/23;14:35:11
10:BE:F5:3A:25:16;32.10518;35.20700;ariel_cyber;WPA2;-87;Infra;1;-75;2017/10/23;14:41:48
10:BE:F5:A7:B4:F4;32.10347;35.20814;Home;WPA2;-84;Infra;7;-83;2017/10/23;14:35:03
14:AE:DB:32:52:12;32.10343;35.20867;surikat;WPA2;-89;Infra;5;-88;2017/10/23;14:34:20
14:AE:DB:46:62:2D;NaN;NaN;Nadav;WPA2;-5094;Infra;6;-95;2017/10/23;17:01:08
14:AE:DB:53:3F:A5;32.10427;35.20715;bz300683;WPA2;-92;Infra;6;-90;2017/10/23;14:38:30
14:AE:DB:55:A6:95;32.10348;35.20798;Netanel;WpaPsk;-90;Infra;5;-89;2017/10/23;14:35:17
14:AE:DB:58:0D:6D;NaN;NaN;__ery;WPA2;-5090;Infra;1;-91;2017/10/23;17:01:06
14:AE:DB:A2:BC:AD;NaN;NaN;Yosef12;WpaPsk;-5088;Infra;6;-89;2017/10/23;15:13:03
14:AE:DB:B1:74:C5;32.10345;35.20834;Felix;WPA2;-91;Infra;6;-90;2017/10/23;14:34:50
14:AE:DB:C1:13:25;32.10346;35.20829;Oded;WPA2;-92;Infra;6;-91;2017/10/23;14:34:51
14:AE:DB:C7:B9:15;32.10345;35.20834;Tom_Home;WPA2;-92;Infra;1;-91;2017/10/23;14:34:50
14:AE:DB:CF:86:F5;32.10347;35.20805;Biren2809;WpaPsk;-82;Infra;6;-81;2017/10/23;14:35:11
18:A6:F7:9C:12:D0;32.10346;35.20824;M9BLAT;WpaPsk;-90;Infra;7;-89;2017/10/23;14:34:55
1C:B9:C4:12:7C:C8;32.10318;35.20915;Ariel_University;Open;-69;Infra;11;-63;2017/10/23;14:33:37
1C:B9:C4:12:7C:CC;32.10319;35.20916;Ariel_University;Open;-67;Infra;36;-57;2017/10/23;14:33:35
1C:B9:C4:12:90:B8;32.10341;35.20877;Ariel_University;Open;-79;Infra;11;-78;2017/10/23;14:33:55
1C:B9:C4:12:90:BC;32.10342;35.20876;Ariel_University;Open;-83;Infra;44;-82;2017/10/23;14:34:05
1C:B9:C4:12:AF:78;32.10344;35.20773;Ariel_University;Open;-94;Infra;6;-92;2017/10/23;14:35:41
1C:B9:C4:14:2B:88;32.10284;35.20923;Ariel_University;Open;-109;Infra;6;-92;2017/10/23;12:31:37
1C:B9:C4:14:2B:A8;32.10424;35.20714;Ariel_University;Open;-80;Infra;6;-78;2017/10/23;14:38:28
1C:B9:C4:14:2B:AC;32.10434;35.20714;Ariel_University;Open;-84;Infra;36;-82;2017/10/23;14:38:38
1C:B9:C4:14:33:C8;32.10348;35.20777;Ariel_University;Open;-87;Infra;11;-86;2017/10/23;14:35:35
1C:B9:C4:14:33:CC;32.10346;35.20775;Ariel_University;Open;-81;Infra;36;-80;2017/10/23;14:35:37
1C:B9:C4:14:36:28;32.10400;35.20741;Ariel_University;Open;-85;Infra;6;-83;2017/10/23;14:37:22
1C:B9:C4:14:38:28;32.10517;35.20705;Ariel_University;Open;-74;Infra;11;-73;2017/10/23;16:57:50
1C:B9:C4:14:38:2C;32.10516;35.20707;Ariel_University;Open;-73;Infra;36;-72;2017/10/23;16:57:48
1C:B9:C4:15:0E:B8;32.10444;35.20713;Ariel_University;Open;-72;Infra;6;-70;2017/10/23;14:38:48
1C:B9:C4:15:0E:BC;32.10439;35.20714;Ariel_University;Open;-84;Infra;36;-82;2017/10/23;14:38:43
1C:B9:C4:15:1C:B8;32.10492;35.20714;Ariel_University;Open;-78;Infra;1;-76;2017/10/23;14:39:34
1C:B9:C4:15:1F:58;32.10411;35.20711;Ariel_University;Open;-67;Infra;6;-65;2017/10/23;14:38:18
1C:B9:C4:15:1F:5C;32.10405;35.20714;Ariel_University;Open;-68;Infra;44;-66;2017/10/23;14:38:12
1C:B9:C4:15:23:58;32.10517;35.20719;Ariel_University;Open;-92;Infra;11;-91;2017/10/23;16:33:58
1C:B9:C4:15:33:D8;32.10518;35.20703;Ariel_University;Open;-84;Infra;11;-78;2017/10/23;14:40:29
1C:B9:C4:15:36:78;32.10402;35.20716;Ariel_University;Open;-74;Infra;1;-72;2017/10/23;14:38:06
1C:B9:C4:15:36:7C;32.10396;35.20738;Ariel_University;Open;-76;Infra;44;-74;2017/10/23;14:37:26
1C:B9:C4:15:36:8C;32.10404;35.20718;Ariel_University;Open;-84;Infra;36;-83;2017/10/23;14:38:04
1C:B9:C4:15:3D:78;32.10441;35.20714;Ariel_University;Open;-76;Infra;11;-74;2017/10/23;14:38:44
1C:B9:C4:15:3D:7C;32.10443;35.20713;Ariel_University;Open;-73;Infra;36;-70;2017/10/23;14:38:46
1C:B9:C4:15:43:E8;32.10305;35.20905;Ariel_University;Open;-95;Infra;1;-87;2017/10/23;12:48:54
1C:B9:C4:15:43:EC;32.10307;35.20897;Ariel_University;Open;-111;Infra;36;-88;2017/10/23;12:39:48
1C:B9:C4:15:44:58;32.10515;35.20705;Ariel_University;Open;-84;Infra;11;-83;2017/10/23;16:33:44
1C:B9:C4:15:44:5C;32.10492;35.20714;Ariel_University;Open;-84;Infra;36;-82;2017/10/23;14:39:34
1C:B9:C4:15:FD:48;32.10404;35.20761;Ariel_University;Open;-87;Infra;1;-86;2017/10/23;14:36:47
1C:B9:C4:15:FD:4C;32.10479;35.20713;Ariel_University;Open;-87;Infra;36;-85;2017/10/23;14:39:20
1C:B9:C4:15:FD:68;32.10482;35.20712;Ariel_University;Open;-85;Infra;11;-83;2017/10/23;14:39:24
1C:B9:C4:16:05:38;32.10481;35.20712;Ariel_University;Open;-74;Infra;1;-72;2017/10/23;14:39:22
1C:B9:C4:16:05:3C;32.10512;35.20693;Ariel_University;Open;-82;Infra;44;-79;2017/10/23;16:58:04
1C:B9:C4:16:05:78;32.10485;35.20711;Ariel_University;Open;-76;Infra;6;-73;2017/10/23;14:39:26
1C:B9:C4:16:05:7C;32.10477;35.20712;Ariel_University;Open;-84;Infra;36;-82;2017/10/23;14:39:18
1C:B9:C4:16:05:D8;32.10518;35.20700;Smart-Class 2.4;WpaPsk;-65;Infra;12;-54;2017/10/23;14:42:00
1C:B9:C4:16:05:DC;32.10518;35.20700;Smart-Class;WpaPsk;-60;Infra;56;-49;2017/10/23;14:41:58
1C:B9:C4:16:06:38;32.10404;35.20718;Ariel_University;Open;-86;Infra;1;-85;2017/10/23;14:38:04
1C:B9:C4:16:11:A8;32.10346;35.20772;Ariel_University;Open;-86;Infra;1;-84;2017/10/23;14:35:47
1C:B9:C4:16:11:AC;32.10344;35.20773;Ariel_University;Open;-85;Infra;52;-83;2017/10/23;14:35:41
1C:B9:C4:16:13:08;32.10340;35.20879;Ariel_University;Open;-75;Infra;11;-73;2017/10/23;14:33:51
1C:B9:C4:16:13:0C;32.10341;35.20877;Ariel_University;Open;-83;Infra;44;-82;2017/10/23;14:33:55
1C:B9:C4:16:1D:78;32.10475;35.20714;Ariel_University;Open;-87;Infra;1;-85;2017/10/23;14:39:16
1C:B9:C4:16:1D:7C;32.10389;35.20775;Ariel_University;Open;-90;Infra;52;-89;2017/10/23;14:36:25
1C:B9:C4:16:28:88;32.10400;35.20752;Ariel_University;Open;-78;Infra;11;-76;2017/10/23;14:36:57
1C:B9:C4:16:28:8C;32.10397;35.20751;Ariel_University;Open;-78;Infra;48;-77;2017/10/23;14:37:01
1C:B9:C4:16:28:E8;32.10342;35.20876;Ariel_University;Open;-78;Infra;6;-77;2017/10/23;14:34:05
1C:B9:C4:16:28:EC;32.10342;35.20876;Ariel_University;Open;-79;Infra;64;-78;2017/10/23;14:34:05
1C:B9:C4:16:28:F8;32.10341;35.20877;Ariel_University;Open;-86;Infra;6;-85;2017/10/23;14:33:55
1C:B9:C4:16:CD:68;32.10397;35.20763;Ariel_University;Open;-75;Infra;1;-74;2017/10/23;14:36:41
1C:B9:C4:16:CD:6C;32.10397;35.20763;Ariel_University;Open;-80;Infra;52;-79;2017/10/23;14:36:41
1C:B9:C4:16:D2:88;32.10343;35.20859;Ariel_University;Open;-71;Infra;6;-70;2017/10/23;14:34:28
1C:B9:C4:16:D2:8C;32.10352;35.20770;Ariel_University;Open;-74;Infra;64;-73;2017/10/23;14:35:55
1C:B9:C4:16:F1:58;32.10305;35.20905;Ariel_University;Open;-79;Infra;6;-70;2017/10/23;12:48:32
1C:B9:C4:16:F4:28;32.10305;35.20905;Ariel_University;Open;-88;Infra;11;-80;2017/10/23;12:48:54
1C:B9:C4:16:F4:2C;32.10307;35.20897;Ariel_University;Open;-106;Infra;64;-83;2017/10/23;12:39:48
1C:B9:C4:16:F4:38;32.10405;35.20743;Ariel_University;Open;-85;Infra;6;-83;2017/10/23;14:37:16
1C:B9:C4:16:F4:78;32.10344;35.20773;Ariel_University;Open;-83;Infra;1;-81;2017/10/23;14:35:41
1C:B9:C4:16:F4:7C;32.10341;35.20877;Ariel_University;Open;-85;Infra;36;-84;2017/10/23;14:33:55
1C:B9:C4:48:98:83;32.10520;35.20724;island-089880;WPA2;-87;Infra;11;-86;2017/10/23;16:34:16
1C:B9:C4:55:44:73;32.10402;35.20732;island-154470;WPA2;-87;Infra;8;-85;2017/10/23;14:37:42
1C:B9:C4:56:12:C3;32.10518;35.20700;island-1612C0;WPA2;-75;Infra;3;-52;2017/10/23;14:42:16
1C:B9:C4:92:7C:C7;32.10340;35.20889;;WPA2;-65;Infra;36;-63;2017/10/23;14:33:43
1C:B9:C4:92:90:B7;32.10343;35.20867;;WPA2;-84;Infra;44;-83;2017/10/23;14:34:20
1C:B9:C4:94:38:27;32.10516;35.20702;;WPA2;-82;Infra;36;-80;2017/10/23;16:57:55
1C:B9:C4:95:1F:57;32.10405;35.20714;;WPA2;-68;Infra;44;-66;2017/10/23;14:38:12
1C:B9:C4:95:36:77;32.10402;35.20742;;WPA2;-82;Infra;44;-80;2017/10/23;14:37:20
1C:B9:C4:95:3D:77;32.10446;35.20713;;WPA2;-82;Infra;36;-80;2017/10/23;14:38:50
1C:B9:C4:96:05:37;32.10515;35.20705;;WPA2;-83;Infra;44;-82;2017/10/23;16:33:44
1C:B9:C4:96:05:77;32.10477;35.20712;;WPA2;-83;Infra;36;-81;2017/10/23;14:39:18
1C:B9:C4:96:11:A7;32.10344;35.20773;;WPA2;-87;Infra;52;-85;2017/10/23;14:35:41
1C:B9:C4:96:13:07;32.10341;35.20877;;WPA2;-84;Infra;44;-83;2017/10/23;14:33:55
1C:B9:C4:96:28:87;32.10397;35.20751;;WPA2;-80;Infra;48;-79;2017/10/23;14:37:01
1C:B9:C4:96:28:E7;32.10339;35.20895;;WPA2;-84;Infra;64;-81;2017/10/23;14:33:41
1C:B9:C4:96:CD:67;32.10397;35.20763;;WPA2;-80;Infra;52;-79;2017/10/23;14:36:41
1C:B9:C4:96:D2:87;32.10352;35.20770;;WPA2;-75;Infra;64;-74;2017/10/23;14:35:55
1C:B9:C4:96:F4:27;NaN;NaN;;WPA2;-5084;Infra;64;-85;2017/10/23;12:24:37
1C:B9:C4:96:F4:77;32.10341;35.20877;;WPA2;-85;Infra;36;-84;2017/10/23;14:33:55
24:79:2A:2C:3D:68;32.10305;35.20905;Ariel_University;Open;-82;Infra;11;-73;2017/10/23;12:48:34
24:79:2A:2C:3D:6C;NaN;NaN;Ariel_University;Open;-5088;Infra;44;-89;2017/10/23;12:25:35
24:C9:A1:35:A6:98;NaN;NaN;Ariel_University;Open;-5089;Infra;6;-90;2017/10/23;16:31:56
24:C9:A1:36:20:58;32.10519;35.20704;Ariel_University;Open;-86;Infra;1;-83;2017/10/23;14:40:15
24:C9:A1:36:2A:68;32.10518;35.20702;Ariel_University;Open;-91;Infra;11;-83;2017/10/23;14:40:33
24:C9:A1:36:50:98;32.10518;35.20701;Ariel_University;Open;-107;Infra;6;-87;2017/10/23;14:40:51
24:C9:A1:36:52:D8;32.10520;35.20721;Ariel_University;Open;-91;Infra;6;-89;2017/10/23;16:35:22
2C:0E:3D:09:6E:64;NaN;NaN;AndroidAP;WPA2;-5090;Infra;6;-91;2017/10/23;13:58:06
2C:59:8A:6C:96:52;NaN;NaN;Pelephone - G3_1749;WPA2;-5086;Infra;1;-87;2017/10/23;13:55:46
30:B5:C2:B8:40:36;32.10519;35.20704;;WPA2;-85;Infra;13;-83;2017/10/23;14:40:11
30:E1:71:0D:E0:71;32.10403;35.20743;DIRECT-70-HP DeskJet 3630 series;WPA2;-79;Infra;6;-77;2017/10/23;14:37:18
34:0B:01:19:21:42;NaN;NaN;afikim-wifi;Open;-5092;Infra;7;-93;2017/10/23;15:53:43
34:4D:F7:38:AC:AB;NaN;NaN;yossi;WPA2;-5090;Infra;6;-91;2017/10/23;13:56:31
34:8F:27:20:8C:18;32.10342;35.20876;Ariel_University;Open;-77;Infra;1;-76;2017/10/23;14:34:03
34:8F:27:20:8C:1C;32.10342;35.20876;Ariel_University;Open;-91;Infra;36;-90;2017/10/23;14:34:05
3C:1E:04:03:7D:31;32.10349;35.20783;FUCKuNGBHD_2.4;WPA2;-90;Infra;4;-89;2017/10/23;14:35:31
3E:FA:43:B4:7A:E7;32.10343;35.20867;Äbø Sälãmēh;WPA2;-80;Infra;7;-79;2017/10/23;14:34:20
40:A5:EF:8A:9F:2A;32.10343;35.20867;COMFAST 5G;WPA2;-87;Infra;40;-86;2017/10/23;14:34:20
40:A5:EF:8A:9F:31;32.10343;35.20867;;WPA2;-86;Infra;40;-85;2017/10/23;14:34:20
44:44:44:44:44:44;32.10481;35.20712;REL-WIFI;Wep;-87;Adhoc;11;-85;2017/10/23;14:39:22
4E:66:41:DD:87:4D;32.10309;35.20929;AndroidAP;WPA2;-110;Infra;1;-87;2017/10/23;13:14:02
58:70:C6:02:FB:AC;NaN;NaN;YICarCam_02FBAC;WPA2;-5093;Infra;5;-94;2017/10/23;17:10:14
58:70:C6:F7:F9:BC;NaN;NaN;YICarCam_f7f9bc;WPA2;-5087;Infra;6;-88;2017/10/23;13:21:51
58:70:C6:FD:60:2B;NaN;NaN;YICarCam_fd602b;WPA2;-5091;Infra;5;-92;2017/10/23;12:22:12
5A:12:F5:7F:09:9D;32.10343;35.20867;BezeqFree;WPA2;-93;Infra;9;-92;2017/10/23;14:34:20
5A:B0:CE:39:89:E4;32.10346;35.20821;Bezeq Free RA36CA;Open;-87;Infra;11;-86;2017/10/23;14:34:57
5C:A8:6A:48:D4:81;NaN;NaN;HUAWEI_P9lite_6A32;Open;-5093;Infra;6;-94;2017/10/23;13:22:17
62:AB:1B:60:B4:CB;32.10290;35.20864;Bezeq Free;WPA2;-116;Infra;4;-92;2017/10/23;12:36:17
6A:37:73:D7:AB:3B;32.10343;35.20859;Bezeq Free AA107B;Open;-85;Infra;1;-84;2017/10/23;14:34:28
6C:B0:CE:39:89:E7;32.10346;35.20821;amfisa2.4;WPA2;-86;Infra;11;-85;2017/10/23;14:34:57
70:5A:0F:5C:B0:0B;32.10400;35.20741;DIRECT-80-HP DeskJet 3630 series;WPA2;-78;Infra;6;-76;2017/10/23;14:37:22
70:62:B8:33:11:99;32.10344;35.20850;Jeka Dom;WPA2;-90;Infra;1;-89;2017/10/23;14:34:35
74:23:44:9F:A6:46;32.10291;35.20881;zikzYuAJ3jgAAwGP1647520206;WPA2;-82;Infra;6;-64;2017/10/23;12:36:03
74:EA:3A:AF:9F:AA;32.10437;35.20714;55_1_29;Open;-88;Infra;1;-86;2017/10/23;14:38:40
78:11:DC:1A:CF:D0;32.10348;35.20798;TamiRacheli;WpaPsk;-84;Infra;8;-83;2017/10/23;14:35:17
7C:03:4C:BB:19:6F;32.10348;35.20800;Hot;WpaPsk;-92;Infra;13;-91;2017/10/23;14:35:15
80:37:73:D7:AB:3A;32.10343;35.20867;Hoom_2.4;WPA2;-84;Infra;1;-83;2017/10/23;14:34:20
80:5A:04:C2:EB:E6;32.10519;35.20704;G4_5379;WPA2;-69;Infra;11;-66;2017/10/23;14:40:15
84:16:F9:D7:2D:DC;32.10346;35.20829;TP-LINK_2DDC;WpaPsk;-92;Infra;5;-91;2017/10/23;14:34:51
8C:0C:90:2D:75:E8;32.10340;35.20889;Ariel_University;Open;-86;Infra;1;-84;2017/10/23;14:33:43
8C:0C:90:2D:7A:58;32.10520;35.20724;Ariel_University;Open;-85;Infra;11;-84;2017/10/23;16:34:16
8C:0C:90:2E:16:88;32.10341;35.20876;Ariel_University;Open;-84;Infra;1;-82;2017/10/23;14:33:57
8C:0C:90:2F:36:A8;NaN;NaN;Ariel_University;Open;-5091;Infra;11;-92;2017/10/23;16:31:46
8C:0C:90:2F:CC:38;NaN;NaN;Ariel_University;Open;-5090;Infra;11;-91;2017/10/23;16:31:54
8C:0C:90:6E:16:88;32.10341;35.20879;;WPA2;-85;Infra;1;-83;2017/10/23;14:33:49
8C:0C:90:AD:75:E3;32.10305;35.20905;;WPA2;-100;Infra;1;-90;2017/10/23;12:48:26
8C:0C:90:AE:16:83;32.10341;35.20877;;WPA2;-87;Infra;1;-86;2017/10/23;14:33:55
90:8D:78:55:1D:15;32.10348;35.20798;norden-5GHz;WPA2;-86;Infra;64;-85;2017/10/23;14:35:17
90:8D:78:55:1D:16;32.10349;35.20792;norden;WPA2;-90;Infra;10;-89;2017/10/23;14:35:23
94:65:2D:AC:09:C7;NaN;NaN;Elad;WPA2;-5092;Infra;11;-93;2017/10/23;13:50:09
A0:39:F7:72:8D:22;32.10352;35.20770;legend;WPA2;-81;Infra;3;-80;2017/10/23;14:35:55
A0:AB:1B:58:2C:06;32.10347;35.20805;dina;WPA2;-83;Infra;6;-82;2017/10/23;14:35:11
A0:AB:1B:59:2A:48;32.10523;35.20725;x018_394769;Open;-94;Infra;11;-93;2017/10/23;16:54:21
A0:AB:1B:60:B4:CA;32.10284;35.20923;036518749;WPA2;-107;Infra;4;-90;2017/10/23;12:31:37
A0:AB:1B:64:12:FA;32.10343;35.20867;omer;WPA2;-88;Infra;8;-87;2017/10/23;14:34:20
A8:C8:3A:35:B0:2B;NaN;NaN;Eyal6720;WPA2;-5091;Infra;4;-92;2017/10/23;15:12:59
B0:48:7A:A1:80:8C;32.10347;35.20812;Knoch;WpaPsk;-89;Infra;1;-88;2017/10/23;14:35:05
B8:A3:86:0A:5F:3D;32.10444;35.20713;Karnaf;WPA2;-93;Infra;6;-91;2017/10/23;14:38:48
C0:AC:54:F5:FF:4B;32.10347;35.20810;YanivIsGay;WpaPsk;-84;Infra;11;-83;2017/10/23;14:35:07
C4:04:15:0F:75:B6;32.10342;35.20866;super-WIFI_2.4;WPA2;-85;Infra;1;-84;2017/10/23;14:34:21
C4:12:F5:3F:D1:75;32.10345;35.20834;natasha;WPA2;-87;Infra;1;-86;2017/10/23;14:34:50
C4:12:F5:7F:09:9C;32.10343;35.20859;daviv;WPA2;-90;Infra;9;-89;2017/10/23;14:34:28
C4:12:F5:83:25:09;32.10345;35.20834;Yos1;WPA2;-93;Infra;10;-92;2017/10/23;14:34:50
